"(PDH-CSV 4.0) (Coordinated Universal Time)(0)","\\EC2AMAZ-LAEQ1CL\Memory\Page Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Available Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Committed Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Commit Limit","\\EC2AMAZ-LAEQ1CL\Memory\Write Copies/sec","\\EC2AMAZ-LAEQ1CL\Memory\Transition Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Cache Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Demand Zero Faults/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pages/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pages Input/sec","\\EC2AMAZ-LAEQ1CL\Memory\Page Reads/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pages Output/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pool Paged Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Pool Nonpaged Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Page Writes/sec","\\EC2AMAZ-LAEQ1CL\Memory\Pool Paged Allocs","\\EC2AMAZ-LAEQ1CL\Memory\Pool Nonpaged Allocs","\\EC2AMAZ-LAEQ1CL\Memory\Free System Page Table Entries","\\EC2AMAZ-LAEQ1CL\Memory\Cache Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Cache Bytes Peak","\\EC2AMAZ-LAEQ1CL\Memory\Pool Paged Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Code Total Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Code Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Driver Total Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Driver Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\System Cache Resident Bytes","\\EC2AMAZ-LAEQ1CL\Memory\% Committed Bytes In Use","\\EC2AMAZ-LAEQ1CL\Memory\Available KBytes","\\EC2AMAZ-LAEQ1CL\Memory\Available MBytes","\\EC2AMAZ-LAEQ1CL\Memory\Transition Pages RePurposed/sec","\\EC2AMAZ-LAEQ1CL\Memory\Free & Zero Page List Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Modified Page List Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Standby Cache Reserve Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Standby Cache Normal Priority Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Standby Cache Core Bytes","\\EC2AMAZ-LAEQ1CL\Memory\Long-Term Average Standby Cache Lifetime (s)","\\EC2AMAZ-LAEQ1CL\Processor(_Total)\% Processor Time"
"03/26/2025 09:41:54.157"," ","14587109376","2258354176","20266467328"," "," "," "," "," "," "," "," ","222375936","78499840"," ","0","0","16227702","88571904","103563264","201035776","8192","17100800","15667200","40271872","88571904","11.143304549889476718","14245224","13911"," ","12490235904","180969472","843825152","1253048320","0","14400"," "
"03/26/2025 09:41:55.157","768.06361145331607077","14582968320","2258587648","20266467328","0","46.549309785049459265","1.0119415170662926506","1416.7181238928096718","0","0","0","0","222375936","78499840","0","0","0","16227717","88576000","103563264","201035776","8192","17100800","15667200","40271872","88576000","11.14445654934841734","14241180","13907","0","12486107136","180953088","843825152","1253036032","0","14400","7.4392906694250804378"
"03/26/2025 09:41:56.157","3156.9592752253497565","14592917504","2255335424","20266467328","0","29.999613004992237819","1.9999742003328158102","3523.954540986421307","0","0","0","0","222351360","78499840","0","0","0","16227721","88571904","103563264","201015296","8192","17100800","15667200","40271872","88571904","11.128409232741317325","14250896","13916","0","12496052224","180887552","843825152","1253040128","0","14400","7.806719481311475306"
"03/26/2025 09:41:57.162","1166.1004645298505693","14585184256","2259243008","20266467328","0","13.929527733291729774","0","1188.9846886631155485","0","0","0","0","222351360","78499840","0","0","0","16227721","88571904","103563264","201015296","8192","17100800","15667200","40271872","88571904","11.147690264309684238","14243344","13909","0","12488318976","180912128","843825152","1253040128","0","14400","1.6571819726830083752"
"03/26/2025 09:41:58.157","4.0215260223397777395","14585282560","2254921728","20266467328","0","4.0215260223397777395","0","2.0107630111698888697","0","0","0","0","222339072","78499840","0","0","0","16227721","88571904","103563264","201007104","8192","17100800","15667200","40271872","88571904","11.126367959921799056","14243440","13909","0","12488417280","180879360","843825152","1253040128","0","14400","1.8353553051252413653"
"03/26/2025 09:41:59.161","44.816579186363973974","14585151488","2254921728","20266467328","0","11.951087783030391876","0","36.849187331010377022","0.99592398191919939698","0.99592398191919939698","0.99592398191919939698","0","222343168","78499840","0","0","0","16227733","88571904","103563264","201011200","8192","17100800","15667200","40271872","88571904","11.126367959921799056","14243312","13909","0","12488286208","180862976","843825152","1253040128","0","14400","0.39145163422267259534"
"03/26/2025 09:42:00.166","131.41423419251032101","14585495552","2254692352","20266467328","3.9822495209851611619","23.893497125910965195","0","107.52073706659935226","0","0","0","0","222343168","78499840","0","0","0","16227760","88571904","103563264","201011200","8192","17100800","15667200","40271872","88571904","11.125236146879670329","14243648","13909","0","12488626176","180883456","843825152","1253044224","0","14400","0"
"03/26/2025 09:42:01.157","17.147558167543344609","14585692160","2254249984","20266467328","0","0","1.0086798922084319052","28.243036981836095123","0","0","0","0","222343168","78499840","0","0","0","16227775","88576000","103563264","201011200","8192","17100800","15667200","40271872","88576000","11.123053382877971629","14243840","13910","0","12488826880","180883456","843825152","1253040128","0","14400","0.29915865537395447404"
"03/26/2025 09:42:02.157","62490.687555456192058","14579343360","2278572032","20266467328","3598.5634127132516369","31799.468579824599146","3873.3773362056549558","16118.086443668989887","15.989173730467099332","15.989173730467099332","1.9986467163083874166","0","222363648","78532608","0","0","0","16227727","90034176","103563264","201060352","8192","17100800","15667200","40271872","90034176","11.243064680891825091","14237640","13903","0","12484755456","180531200","843825152","1250701312","0","14400","18.787820511987561645"
"03/26/2025 09:42:03.158","39561.473497373066493","14451142656","3484016640","20266467328","353.0309961214594523","5986.5256169491676701","6836.6002535022571465","26988.369578849022218","17.001492731061787822","17.001492731061787822","3.000263423128550766","0","222515200","78561280","0","0","0","16227747","99147776","103563264","201232384","8192","17100800","15667200","40271872","99147776","17.191040659600645313","14112444","13781","0","12376641536","180645888","843825152","1230675968","0","14400","44.546871146398061114"
